    Tev(Myr)       type        Mo          Mt      L          R       Teff          Mc          Menv            Renv            epoch    spin         
   3017.8516      3.0000      1.4997      1.4994     12.5927      5.0573   4856.7017      0.1933      0.1084  11.311E-01     -1.5528  4.9858E+01
   3018.8228      3.0000      1.4997      1.4994     12.7455      5.0926   4854.4175      0.1937      0.1083  11.388E-01     -1.5528  4.9136E+01
   3019.7842      3.0000      1.4997      1.4994     12.9001      5.1283   4852.1235      0.1941      0.1082  11.463E-01     -1.5528  4.8424E+01
   3020.7361      3.0000      1.4997      1.4994     13.0567      5.1642   4849.8198      0.1944      0.1081  11.537E-01     -1.5528  4.7724E+01
   3021.6782      3.0000      1.4997      1.4993     13.2151      5.2004   4847.5063      0.1948      0.1080  11.610E-01     -1.5528  4.7034E+01
   3022.6111      3.0000      1.4997      1.4993     13.3754      5.2369   4845.1836      0.1952      0.1080  11.682E-01     -1.5528  4.6354E+01
   3023.5347      3.0000      1.4997      1.4993     13.5377      5.2736   4842.8511      0.1956      0.1079  11.753E-01     -1.5528  4.5685E+01
   3024.4490      3.0000      1.4997      1.4993     13.7020      5.3107   4840.5088      0.1960      0.1078  11.822E-01     -1.5528  4.5026E+01
   3025.3542      3.0000      1.4997      1.4993     13.8682      5.3480   4838.1567      0.1964      0.1077  11.890E-01     -1.5528  4.4377E+01
   3026.2502      3.0000      1.4997      1.4993     14.0365      5.3856   4835.7954      0.1968      0.1076  11.957E-01     -1.5528  4.3738E+01
   3027.1375      3.0000      1.4997      1.4993     14.2068      5.4235   4833.4248      0.1972      0.1075  12.022E-01     -1.5528  4.3108E+01
   3028.0159      3.0000      1.4997      1.4993     14.3792      5.4617   4831.0439      0.1976      0.1075  12.086E-01     -1.5528  4.2488E+01
   3028.8853      3.0000      1.4997      1.4993     14.5537      5.5001   4828.6538      0.1980      0.1074  12.148E-01     -1.5528  4.1878E+01
   3029.7461      3.0000      1.4997      1.4993     14.7303      5.5389   4826.2544      0.1984      0.1073  12.208E-01     -1.5528  4.1276E+01
   3030.5984      3.0000      1.4997      1.4993     14.9090      5.5780   4823.8452      0.1988      0.1072  12.267E-01     -1.5528  4.0683E+01
   3031.4421      3.0000      1.4997      1.4993     15.0899      5.6173   4821.4263      0.1992      0.1071  12.323E-01     -1.5528  4.0100E+01
   3032.2773      3.0000      1.4997      1.4992     15.2730      5.6570   4818.9980      0.1996      0.1070  12.378E-01     -1.5528  3.9525E+01
   3033.1042      3.0000      1.4997      1.4992     15.4583      5.6970   4816.5601      0.2000      0.1070  12.431E-01     -1.5528  3.8958E+01
   3033.9229      3.0000      1.4997      1.4992     15.6458      5.7373   4814.1128      0.2004      0.1069  12.481E-01     -1.5528  3.8401E+01
   3034.7332      3.0000      1.4997      1.4992     15.8357      5.7779   4811.6558      0.2008      0.1068  12.530E-01     -1.5528  3.7851E+01
   3035.5356      3.0000      1.4997      1.4992     16.0278      5.8188   4809.1895      0.2012      0.1067  12.576E-01     -1.5528  3.7310E+01
   3036.3298      3.0000      1.4997      1.4992     16.2223      5.8600   4806.7139      0.2016      0.1066  12.619E-01     -1.5528  3.6776E+01
   3037.1162      3.0000      1.4997      1.4992     16.4191      5.9016   4804.2285      0.2020      0.1066  12.660E-01     -1.5528  3.6251E+01
   3037.8948      3.0000      1.4997      1.4992     16.6183      5.9434   4801.7334      0.2024      0.1065  12.699E-01     -1.5528  3.5733E+01
   3038.6655      3.0000      1.4997      1.4992     16.8200      5.9856   4799.2295      0.2028      0.1064  12.735E-01     -1.5528  3.5224E+01
   3039.4285      3.0000      1.4997      1.4992     17.0241      6.0281   4796.7153      0.2032      0.1063  12.768E-01     -1.5528  3.4721E+01
   3040.1838      3.0000      1.4997      1.4991     17.2306      6.0710   4794.1924      0.2036      0.1062  12.798E-01     -1.5528  3.4226E+01
   3040.9316      3.0000      1.4997      1.4991     17.4397      6.1142   4791.6597      0.2041      0.1061  12.825E-01     -1.5528  3.3739E+01
   3041.6721      3.0000      1.4997      1.4991     17.6513      6.1577   4789.1177      0.2045      0.1061  12.849E-01     -1.5528  3.3258E+01
   3042.4050      3.0000      1.4997      1.4991     17.8655      6.2015   4786.5664      0.2049      0.1060  12.869E-01     -1.5528  3.2785E+01
   3043.1306      3.0000      1.4997      1.4991     18.0822      6.2457   4784.0059      0.2053      0.1059  12.886E-01     -1.5528  3.2318E+01
   3043.8489      3.0000      1.4997      1.4991     18.3016      6.2902   4781.4355      0.2057      0.1058  12.900E-01     -1.5528  3.1859E+01
   3044.5601      3.0000      1.4997      1.4991     18.5237      6.3351   4778.8560      0.2061      0.1057  12.910E-01     -1.5528  3.1406E+01
   3045.2642      3.0000      1.4997      1.4991     18.7485      6.3804   4776.2671      0.2065      0.1056  12.916E-01     -1.5528  3.0960E+01
   3045.9612      3.0000      1.4997      1.4991     18.9759      6.4259   4773.6689      0.2069      0.1056  12.919E-01     -1.5528  3.0520E+01
   3046.6514      3.0000      1.4997      1.4990     19.2062      6.4719   4771.0615      0.2074      0.1055  12.917E-01     -1.5528  3.0087E+01
   3047.3345      3.0000      1.4997      1.4990     19.4392      6.5182   4768.4443      0.2078      0.1054  12.913E-01     -1.5528  2.9660E+01
   3048.0107      3.0000      1.4997      1.4990     19.6751      6.5648   4765.8184      0.2082      0.1053  12.908E-01     -1.5528  2.9240E+01
   3048.6804      3.0000      1.4997      1.4990     19.9138      6.6118   4763.1831      0.2086      0.1052  12.904E-01     -1.5528  2.8825E+01
   3049.3433      3.0000      1.4997      1.4990     20.1554      6.6592   4760.5381      0.2090      0.1052  12.900E-01     -1.5528  2.8417E+01
   3049.9995      3.0000      1.4997      1.4990     20.4000      6.7070   4757.8843      0.2095      0.1051  12.895E-01     -1.5528  2.8014E+01
   3050.6492      3.0000      1.4997      1.4990     20.6475      6.7551   4755.2207      0.2099      0.1050  12.891E-01     -1.5528  2.7618E+01
   3051.2922      3.0000      1.4997      1.4990     20.8980      6.8036   4752.5483      0.2103      0.1049  12.887E-01     -1.5528  2.7227E+01
   3051.9290      3.0000      1.4997      1.4990     21.1516      6.8525   4749.8667      0.2107      0.1048  12.882E-01     -1.5528  2.6842E+01
   3052.5593      3.0000      1.4997      1.4989     21.4082      6.9017   4747.1758      0.2111      0.1047  12.878E-01     -1.5528  2.6462E+01
   3053.1836      3.0000      1.4997      1.4989     21.6680      6.9514   4744.4756      0.2116      0.1047  12.874E-01     -1.5528  2.6088E+01
   3053.8013      3.0000      1.4997      1.4989     21.9309      7.0014   4741.7661      0.2120      0.1046  12.869E-01     -1.5528  2.5719E+01
   3054.4131      3.0000      1.4997      1.4989     22.1970      7.0519   4739.0474      0.2124      0.1045  12.865E-01     -1.5528  2.5356E+01
   3055.0186      3.0000      1.4997      1.4989     22.4663      7.1027   4736.3198      0.2129      0.1044  12.860E-01     -1.5528  2.4998E+01
   3055.6179      3.0000      1.4997      1.4989     22.7389      7.1539   4733.5830      0.2133      0.1043  12.856E-01     -1.5528  2.4645E+01
